time,open,high,low,close,BOS Demand,CHOCH Demand,BOS Supply,CHOCH Supply,New Demand Zone,New Supply Zone,Zone Mitigated,Zone Broken,Volume Spike,Bullish Sweep,Bearish Sweep,Bullish Confirmation,Bearish Confirmation,ATR Short Stop Loss,ATR Long Stop Loss,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross,CVD,Signal
1727762400,20252,20291.75,20215,20278,0,0,0,0,1,0,0,0,0,0,0,1,0,20468.98944968231,20037.76055031769,118.1596331215399,74562,136661.75321412002,251567.44473177008,1137.769874545993,0,0,1,0,29263.4755123865,-8421.41909465142
1727776800,20278.25,20324.75,19978.5,20043.75,0,0,0,1,0,0,1,1,0,0,0,0,1,20526.42770327643,19776.82229672357,134.45180218428703,312768,195363.83547608,204992.62982118002,-18463.688484509265,0,0,0,1,-182560.62845873262,-25006.105700754393
1727791200,20040,20079.5,19818,19999.25,0,0,0,0,0,0,0,0,1,0,0,0,1,20294.790010185257,19602.709989814743,143.52667345683795,875119,421948.8903173867,293045.75321412005,-27218.352659575597,0,0,0,0,-318931.94490232726,-52999.042767570856
1727805600,19998.75,20080.5,19952.5,19960,0,0,0,0,0,0,0,0,0,0,0,0,1,20294.12643802917,19738.87356197083,142.4176253527781,247185,363694.26021159114,632923.3354760801,-28377.157088297194,0,0,0,0,-393763.34138670226,-85452.78549320242
1727820000,19972,19990,19891.75,19985.25,0,0,0,0,0,0,0,0,0,0,0,1,0,20198.894192455657,19682.855807544343,139.2627949704368,75682,267690.17347439413,545541.3903173867,-21124.137296050438,0,0,0,0,10206.478371501273,-76342.37941084968
1727834400,19984.75,19998.5,19880.25,19921.25,0,0,0,0,1,0,0,0,0,0,0,0,1,20205.142821565965,19673.607178434035,137.761881043977,70711,202030.44898292943,401535.2602115912,-19595.75663828216,1,0,0,0,-27765.179133784135,-71715.97938446248
1727848800,19920,19972.75,19891.5,19912.25,0,0,0,0,0,0,0,0,0,0,0,0,1,20173.337977168398,19690.912022831602,133.72531811226438,85009,163023.29932195297,303045.67347439413,-15403.643526462336,0,0,0,0,-35873.7299030149,-68302.4318148008
1727863200,19912.25,20011.5,19833.5,19915.75,0,0,0,0,0,0,1,0,0,0,0,1,0,20216.83169308494,19628.16830691506,136.88779538995976,330504,218850.19954796863,244534.94898292946,-10504.142395609037,0,0,0,0,-29375.05574571153,-64595.06266536373
1727877600,19915.75,20089.5,19905.5,20044.75,0,0,0,0,0,0,0,0,1,0,0,1,0,20299.87942929316,19695.12057070684,140.2529528621055,628033,355244.4663653124,328275.299321953,34374.890311012015,0,0,1,0,410930.68881950586,-19306.895857280913
1727892000,20044.75,20072.5,19985.75,20059.25,0,0,0,0,0,0,0,0,0,0,0,1,0,20277.146970057933,19781.103029942067,136.4313133719551,176471,295653.31091020827,532866.6995479686,32079.060533013617,0,0,0,0,440427.28247944824,24477.311603359958
